Population,pop_label,Individual,indv_label,sample,order,Color,pch,cex
CEU,NA,NA12814,NA12814,0,2610,#ff66f4,H,0.8
CEU,NA,NA12815,NA12815,0,2620,#ff66f1,n,0.8
CEU,NA,NA12872,NA12872,0,2630,#ff66ee,U,0.8
CEU,NA,NA12873,NA12873,0,2640,#ff66eb,q,0.8
CEU,NA,NA12874,NA12874,0,2650,#ff66e8,C,0.8
CEU,NA,NA12875,NA12875,0,2660,#ff66e5,e,0.8
CEU,NA,NA12760,NA12760,0,2670,#ff66e2,q,0.8
CEU,NA,NA12761,NA12761,0,2680,#ff66de,T,0.8
CEU,NA,NA12762,NA12762,0,2690,#ff66db,8,0.8
CEU,NA,NA12763,NA12763,0,2700,#ff66d8,D,0.8
CEU,NA,NA07034,NA07034,0,2710,#ff66d5,5,0.8
CEU,NA,NA07055,NA07055,0,2720,#ff66d2,9,0.8
CEU,NA,NA06993,NA06993,0,2730,#ff66cf,R,0.8
CEU,NA,NA06985,NA06985,0,2740,#ff66cc,O,0.8
CEU,NA,NA12750,NA12750,0,2750,#ff66c9,x,0.8
CEU,NA,NA12751,NA12751,0,2760,#ff66c6,z,0.8
CEU,NA,NA11881,NA11881,0,2770,#ff66c3,g,0.8
CEU,NA,NA11882,NA11882,0,2780,#ff66bf,y,0.8
CEU,NA,NA12248,NA12248,0,2790,#ff66bc,q,0.8
CEU,NA,NA12249,NA12249,0,2800,#ff66b9,p,0.8
NGH,NA,Me07,Me07,0,2810,#ff66b6,B,0.8
NGH,NA,Me08,Me08,0,2820,#ff66b3,O,0.8
NGH,NA,Me09,Me09,0,2830,#ff66b0,z,0.8
NGH,NA,Me11,Me11,0,2840,#ff66ad,7,0.8
NGH,NA,Me10,Me10,0,2850,#ff66aa,2,0.8
NGH,NA,Me13,Me13,0,2860,#ff66a7,h,0.8
NGH,NA,Me12,Me12,0,2870,#ff66a4,C,0.8
NGH,NA,Me15,Me15,0,2880,#ff66a0,A,0.8
NGH,NA,Me14,Me14,0,2890,#ff669d,m,0.8
NGH,NA,Me17,Me17,0,2900,#ff669a,x,0.8
NGH,NA,Me16,Me16,0,2910,#ff6697,D,0.8
NGH,NA,Me19,Me19,0,2920,#ff6694,N,0.8
NGH,NA,Me18,Me18,0,2930,#ff6691,V,0.8
NGH,NA,Me5,Me5,0,2940,#ff668e,T,0.8
NGH,NA,Me4,Me4,0,2950,#ff668b,N,0.8
NGH,NA,Me1,Me1,0,2960,#ff6688,k,0.8
NGH,NA,Me3,Me3,0,2970,#ff6685,T,0.8
NGH,NA,Me2,Me2,0,2980,#ff6681,c,0.8
NGH,NA,Me20,Me20,0,2990,#ff667e,x,0.8
NGH,NA,Me21,Me21,0,3000,#ff667b,v,0.8
NGH,NA,Me28,Me28,0,3010,#ff6678,c,0.8
NGH,NA,Me24,Me24,0,3020,#ff6675,8,0.8
NGH,NA,Me25,Me25,0,3030,#ff6672,b,0.8
NGH,NA,Me26,Me26,0,3040,#ff666f,i,0.8
